"run","page","url","performance","accessibility","best_practices","seo","error"
"1","customer-notifications","http://localhost:3000/customer/notifications","44","96","96","92",""
"2","customer-notifications","http://localhost:3000/customer/notifications","39","96","96","92",""
"3","customer-notifications","http://localhost:3000/customer/notifications","39","96","96","92",""
"4","customer-notifications","http://localhost:3000/customer/notifications","39","96","96","92",""
"5","customer-notifications","http://localhost:3000/customer/notifications","39","96","96","92",""
"6","customer-notifications","http://localhost:3000/customer/notifications","38","96","96","92",""
"7","customer-notifications","http://localhost:3000/customer/notifications","39","96","96","92",""
"8","customer-notifications","http://localhost:3000/customer/notifications","38","96","96","92",""
"9","customer-notifications","http://localhost:3000/customer/notifications","39","96","96","92",""
"10","customer-notifications","http://localhost:3000/customer/notifications","39","96","96","92",""
"1","customer-settings","http://localhost:3000/customer/settings","49","90","96","92",""
"2","customer-settings","http://localhost:3000/customer/settings","39","90","96","92",""
"3","customer-settings","http://localhost:3000/customer/settings","39","90","96","92",""
"4","customer-settings","http://localhost:3000/customer/settings","39","90","96","92",""
"5","customer-settings","http://localhost:3000/customer/settings","39","90","96","92",""
"6","customer-settings","http://localhost:3000/customer/settings","39","90","96","92",""
"7","customer-settings","http://localhost:3000/customer/settings","38","90","96","92",""
"8","customer-settings","http://localhost:3000/customer/settings","39","90","96","92",""
"9","customer-settings","http://localhost:3000/customer/settings","39","90","96","92",""
"10","customer-settings","http://localhost:3000/customer/settings","38","90","96","92",""
"1","dashboard","http://localhost:3000/dashboard","39","92","96","92",""
"2","dashboard","http://localhost:3000/dashboard","37","92","96","92",""
"3","dashboard","http://localhost:3000/dashboard","37","92","96","92",""
"4","dashboard","http://localhost:3000/dashboard","37","92","96","92",""
"5","dashboard","http://localhost:3000/dashboard","37","92","96","92",""
"6","dashboard","http://localhost:3000/dashboard","37","92","96","92",""
"7","dashboard","http://localhost:3000/dashboard","37","92","96","92",""
"8","dashboard","http://localhost:3000/dashboard","36","92","96","92",""
"9","dashboard","http://localhost:3000/dashboard","37","92","96","92",""
"10","dashboard","http://localhost:3000/dashboard","37","92","96","92",""
"1","invoice-list","http://localhost:3000/invoice-list","39","82","96","92",""
"2","invoice-list","http://localhost:3000/invoice-list","38","82","96","92",""
"3","invoice-list","http://localhost:3000/invoice-list","38","82","96","92",""
"4","invoice-list","http://localhost:3000/invoice-list","38","82","96","92",""
"5","invoice-list","http://localhost:3000/invoice-list","38","82","96","92",""
"6","invoice-list","http://localhost:3000/invoice-list","38","82","96","92",""
"7","invoice-list","http://localhost:3000/invoice-list","38","82","96","92",""
"8","invoice-list","http://localhost:3000/invoice-list","38","82","96","92",""
"9","invoice-list","http://localhost:3000/invoice-list","38","82","96","92",""
"10","invoice-list","http://localhost:3000/invoice-list","38","82","96","92",""
"1","invoice-add","http://localhost:3000/invoice-add","39","86","96","92",""
"2","invoice-add","http://localhost:3000/invoice-add","39","86","96","92",""
